,name,accuracy,precision,recall,f1,duration_s
260,IoT_2020-HAT,99.13,99.53999999999999,92.39,95.65,0.6356339454650879
261,IoT_2020-HTC,98.83999999999999,94.94,94.28,94.61,0.4017791748046875
262,IoT_2020-SGT,98.61,98.34,88.62,92.86,2.9802370071411133
263,IoT_2020-ADWIN-BA-HT,98.74000000000001,97.59,90.42999999999999,93.67999999999999,1.3902599811553955
264,IoT_2020-ADWIN-BO-HT,97.25,95.33,77.83,84.23,1.7281677722930908
265,IoT_2020-ADA-HT,99.98,99.85000000000001,99.99,99.92,1.441795825958252
266,IoT_2020-BOLE-HT,99.92999999999999,99.96000000000001,99.38,99.67,1.5766499042510986
267,IoT_2020-BAG-HT,99.16,99.39,92.85,95.86,1.1832869052886963
268,IoT_2020-LEVBAG-HT,99.5,99.42,95.94,97.61,5.884663820266724
269,IoT_2020-SRP-HT,99.57000000000001,99.62,96.41999999999999,97.96000000000001,4.496694087982178
270,IoT_2020-SRP-ADWIN,99.75,99.87,97.83,98.82,4.628691911697388
271,IoT_2020-SRP-DDM,99.66000000000001,99.67,97.2,98.4,8.672409772872925
272,IoT_2020-ARF-ADWIN,99.48,99.72999999999999,95.5,97.50999999999999,0.993920087814331
273,IoT_2020-ARF-DDM,99.68,99.52,97.5,98.49,1.5425968170166016
274,IoT_2020-AMF,99.95,99.97,99.53,99.75,19.029054164886475
275,IoT_2020-EFDT,99.33999999999999,99.49,94.39999999999999,96.78999999999999,4.011108160018921
276,IoT_2020-HAT,99.18,99.57000000000001,92.86,95.94,0.6239087581634521
277,IoT_2020-HTC,98.83999999999999,94.94,94.28,94.61,0.4020109176635742
278,IoT_2020-SGT,98.61,98.34,88.62,92.86,2.8425207138061523
279,IoT_2020-ADWIN-BA-HT,98.76,96.67999999999999,91.46,93.89999999999999,1.458406925201416
280,IoT_2020-ADWIN-BO-HT,94.76,75.75,74.32,75.01,1.665456771850586
281,IoT_2020-ADA-HT,99.98,99.85000000000001,99.99,99.92,1.429710865020752
282,IoT_2020-BOLE-HT,99.91,99.81,99.37,99.59,1.6281919479370117
283,IoT_2020-BAG-HT,99.36,99.5,94.56,96.88,1.4334757328033447
284,IoT_2020-LEVBAG-HT,99.52,99.42999999999999,96.1,97.7,6.25931191444397
285,IoT_2020-SRP-HT,99.57000000000001,99.62,96.41999999999999,97.96000000000001,5.166199207305908
286,IoT_2020-SRP-ADWIN,99.75,99.87,97.83,98.82,5.717007160186768
287,IoT_2020-SRP-DDM,99.66000000000001,99.67,97.2,98.4,10.24441385269165
288,IoT_2020-ARF-ADWIN,99.48,99.72999999999999,95.5,97.50999999999999,1.0786471366882324
289,IoT_2020-ARF-DDM,99.68,99.52,97.5,98.49,1.70737886428833
290,IoT_2020-AMF,99.95,99.97,99.53,99.75,21.359975814819336
291,IoT_2020-EFDT,99.33999999999999,99.49,94.39999999999999,96.78999999999999,4.7098188400268555
292,IoT_2020-HAT,99.18,99.57000000000001,92.86,95.94,0.7873809337615967
293,IoT_2020-HTC,98.83999999999999,94.94,94.28,94.61,0.4802391529083252
294,IoT_2020-SGT,98.61,98.34,88.62,92.86,3.6728172302246094
295,IoT_2020-ADWIN-BA-HT,98.03,93.31,87.58,90.21000000000001,1.7218077182769775
296,IoT_2020-ADWIN-BO-HT,96.85000000000001,88.08,80.54,83.83,1.9753341674804688
297,IoT_2020-ADA-HT,99.98,99.85000000000001,99.99,99.92,2.115684986114502
298,IoT_2020-BOLE-HT,99.91,99.81,99.37,99.59,2.06197190284729
299,IoT_2020-BAG-HT,99.38,99.51,94.71000000000001,96.97,1.6806919574737549
300,IoT_2020-LEVBAG-HT,99.42999999999999,99.38,95.32000000000001,97.25,7.164835214614868
301,IoT_2020-SRP-HT,99.59,99.78,96.43,98.04,5.58945631980896
302,IoT_2020-SRP-ADWIN,99.75,99.87,97.83,98.82,5.650749921798706
303,IoT_2020-SRP-DDM,99.68,99.83,97.2,98.48,10.706022024154663
304,IoT_2020-ARF-ADWIN,99.48,99.72999999999999,95.5,97.50999999999999,1.042017936706543
305,IoT_2020-ARF-DDM,99.68,99.52,97.5,98.49,1.8420979976654053
306,IoT_2020-AMF,99.95,99.97,99.53,99.75,20.93945598602295
307,IoT_2020-EFDT,99.33999999999999,99.49,94.39999999999999,96.78999999999999,4.739274024963379
308,IoT_2020-HAT,99.16,99.39,92.85,95.86,0.7980329990386963
309,IoT_2020-HTC,98.83999999999999,94.94,94.28,94.61,0.5380511283874512
310,IoT_2020-SGT,98.61,98.34,88.62,92.86,3.679140090942383
311,IoT_2020-ADWIN-BA-HT,98.22,94.03,88.85,91.25,1.7552707195281982
312,IoT_2020-ADWIN-BO-HT,96.37,85.52,77.95,81.21000000000001,1.8822650909423828
313,IoT_2020-ADA-HT,99.98,99.85000000000001,99.99,99.92,1.7668218612670898
314,IoT_2020-BOLE-HT,99.91,99.81,99.37,99.59,1.8335506916046143
315,IoT_2020-BAG-HT,99.38,99.51,94.71000000000001,96.97,1.422286033630371
316,IoT_2020-LEVBAG-HT,99.42999999999999,99.38,95.32000000000001,97.25,6.963731050491333
317,IoT_2020-SRP-HT,99.59,99.78,96.43,98.04,4.954895257949829
318,IoT_2020-SRP-ADWIN,99.75,99.87,97.83,98.82,5.642561197280884
319,IoT_2020-SRP-DDM,99.68,99.83,97.2,98.48,10.241144180297852
