,name,accuracy,precision,recall,f1,duration_s
127,IoT_2020-SRP-DDM,99.57000000000001,99.77000000000001,96.27,97.95,8.565698146820068
128,IoT_2020-ARF-ADWIN,99.42999999999999,99.07000000000001,95.61,97.27,0.9239380359649658
129,IoT_2020-ARF-DDM,99.68,99.83,97.2,98.48,1.332045078277588
130,IoT_2020-AMF,99.88,99.92999999999999,98.91,99.42,17.16185426712036
131,IoT_2020-EFDT,98.92999999999999,96.31,93.60000000000001,94.91000000000001,4.357141971588135
132,IoT_2020-HAT,98.79,98.11999999999999,90.46,93.92,0.6655919551849365
133,IoT_2020-HTC,98.74000000000001,97.59,90.42999999999999,93.67999999999999,0.407940149307251
134,IoT_2020-SGT,98.61,98.34,88.62,92.86,2.6560287475585938
135,IoT_2020_-ADWIN-BA-HT,98.54,97.41,88.73,92.57,1.524803876876831
136,IoT_2020-ADWIN-BO-HT,95.36,87.63,62.529999999999994,68.08999999999999,1.630101203918457
137,IoT_2020-ADA-HT,99.86,99.78,98.9,99.33999999999999,1.4655632972717285
138,IoT_2020-BOLE-HT,99.96000000000001,99.98,99.69,99.83,1.4228322505950928
139,IoT_2020-BAG-HT,99.0,96.53,94.08,95.26,1.1750290393829346
140,IoT_2020-LEVBAG-HT,99.33999999999999,98.7,95.13000000000001,96.84,6.007826089859009
141,IoT_2020-SRP-HT,99.16,98.72999999999999,93.43,95.91,4.448856830596924
142,IoT_2020-SRP-ADWIN,99.38,99.51,94.71000000000001,96.97,4.880168199539185
143,IoT_2020-SRP-DDM,99.57000000000001,99.77000000000001,96.27,97.95,9.01880407333374
144,IoT_2020-ARF-ADWIN,99.42999999999999,99.07000000000001,95.61,97.27,0.8943548202514648
145,IoT_2020-ARF-DDM,99.72,99.85000000000001,97.52,98.65,1.3547642230987549
146,IoT_2020-AMF,99.89,99.94,99.07000000000001,99.5,17.48025894165039
147,IoT_2020-EFDT,99.09,99.52,92.08,95.46,4.189531326293945
148,IoT_2020-HAT,98.9,99.24,90.52,94.39999999999999,0.682938814163208
149,IoT_2020-HTC,98.74000000000001,97.59,90.42999999999999,93.67999999999999,0.40332818031311035
150,IoT_2020-SGT,98.61,98.34,88.62,92.86,2.632589101791382
151,IoT_2020_-ADWIN-BA-HT,98.63,97.49,89.5,93.08,1.5705618858337402
152,IoT_2020-ADWIN-BO-HT,96.46000000000001,91.58,72.45,78.81,1.6454238891601562
153,IoT_2020-ADA-HT,99.83999999999999,99.77000000000001,98.75,99.25,1.344986915588379
154,IoT_2020-BOLE-HT,99.92999999999999,99.96000000000001,99.38,99.67,1.7345280647277832
155,IoT_2020-BAG-HT,98.88,95.23,94.3,94.76,1.237813949584961
156,IoT_2020-LEVBAG-HT,99.41,99.53,95.02000000000001,97.15,6.812471866607666
157,IoT_2020-SRP-HT,99.18,99.07000000000001,93.28999999999999,95.98,4.436271905899048
158,IoT_2020-SRP-ADWIN,99.45,99.55000000000001,95.33,97.33000000000001,7.533252000808716
159,IoT_2020-SRP-DDM,99.57000000000001,99.77000000000001,96.27,97.95,9.049157857894897
