,name,accuracy,precision,recall,f1,duration_s
120,CIC-ADWIN-BO-HT,88.39,79.29,81.96,80.51,5.808367013931274
121,CIC-ADA-HT,98.63,97.61,97.58,97.59,4.755456924438477
122,CIC-BOLE-HT,98.85000000000001,98.1,97.87,97.98,4.772928953170776
123,CIC-BAG-HT,97.67,96.53,95.21,95.85000000000001,3.8321919441223145
124,CIC-LEVBAG-HT,94.72,94.51,86.42,89.82,17.60086226463318
125,CIC-SRP-HT,94.39,93.25,86.35000000000001,89.31,14.962314128875732
126,CIC-SRP-ADWIN,94.96,94.77,87.06,90.33,14.491508960723877
127,CIC-SRP-DDM,94.78999999999999,94.74000000000001,86.5,89.95,19.205754041671753
128,CIC-ARF-ADWIN,94.85,95.08,86.4,90.01,2.781477212905884
129,CIC-ARF-DDM,94.69,94.39999999999999,86.41,89.77000000000001,4.173780918121338
130,CIC-AMF,99.57000000000001,99.62,98.87,99.24,92.01309204101562
131,CIC-EFDT,94.57,91.11,89.51,90.28,9.216269969940186
132,CIC-HAT,82.82000000000001,41.410000000000004,50.0,45.300000000000004,0.4869868755340576
133,CIC-HTC,97.34,95.92,94.63000000000001,95.26,1.3321068286895752
134,CIC-SGT,90.09,91.59,72.43,77.77,4.031930923461914
135,CIC_-ADWIN-BA-HT,88.71,79.84,82.19999999999999,80.93,5.164448022842407
136,CIC-ADWIN-BO-HT,86.28,76.02,80.78999999999999,77.98,5.629660129547119
137,CIC-ADA-HT,98.88,98.11,97.95,98.03,4.786116123199463
138,CIC-BOLE-HT,98.89,98.05,98.03,98.04,4.665352821350098
139,CIC-BAG-HT,98.14,96.85000000000001,96.58,96.71,3.814213991165161
140,CIC-LEVBAG-HT,93.63,90.81,85.92999999999999,88.12,17.88362216949463
141,CIC-SRP-HT,94.47,93.38,86.52,89.48,15.887202262878418
142,CIC-SRP-ADWIN,96.58,96.07,91.67,93.69,15.312076091766357
143,CIC-SRP-DDM,95.38,94.86,88.48,91.28,21.19882297515869
144,CIC-ARF-ADWIN,94.88,94.35,87.13,90.22,2.7704710960388184
145,CIC-ARF-DDM,94.28999999999999,92.88,86.31,89.14999999999999,3.9087281227111816
146,CIC-AMF,99.63,99.66000000000001,99.03999999999999,99.35000000000001,92.022940158844
147,CIC-EFDT,95.24000000000001,92.19000000000001,90.85,91.5,9.072339057922363
148,CIC-HAT,82.82000000000001,41.410000000000004,50.0,45.300000000000004,0.49732089042663574
149,CIC-HTC,97.67,95.85000000000001,95.99,95.92,1.3328540325164795
150,CIC-SGT,90.23,91.73,72.85000000000001,78.19,4.387449264526367
151,CIC_-ADWIN-BA-HT,91.35,85.45,83.35000000000001,84.35000000000001,4.9853270053863525
152,CIC-ADWIN-BO-HT,88.74,79.93,82.01,80.9,6.16252326965332
153,CIC-ADA-HT,98.76,97.61,98.06,97.83,4.810203790664673
154,CIC-BOLE-HT,98.92,98.46000000000001,97.72,98.08,4.875647306442261
155,CIC-BAG-HT,98.19,96.94,96.67999999999999,96.81,3.7832210063934326
156,CIC-LEVBAG-HT,94.51,93.82000000000001,86.28,89.48,17.788227081298828
157,CIC-SRP-HT,94.76,95.19,86.00999999999999,89.78,13.74725079536438
158,CIC-SRP-ADWIN,94.87,94.37,87.07000000000001,90.19,16.670006036758423
159,CIC-SRP-DDM,93.73,92.77,84.33,87.81,17.715431928634644
