dst,cid,dci,next,pattern,Label
53,53,53,0,53,0
103,103,103,0,103,1
107,107,107,0,107,1
93,93,93,0,93,0
78,78,78,0,78,0
41,41,41,0,41,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
6,6,6,0,6,0
52,52,52,0,52,0
58,58,58,0,58,0
44,44,44,0,44,0
20,20,20,0,20,0
0,0,0,0,0,0
0,0,0,0,0,0
8,8,8,4,8,0
3,3,3,0,3,0
5,5,5,4,5,0
22,22,12,10,22,0
61,61,51,10,61,0
61,61,54,8,61,0
64,64,40,24,64,0
98,98,32,66,98,0
10,10,5,5,10,0
68,68,62,6,68,0
82,82,76,6,82,0
94,94,34,60,94,0
103,103,39,64,103,1
89,89,75,14,89,0
94,94,48,46,94,0
95,95,36,59,95,0
76,76,0,76,76,0
70,70,0,70,70,0
51,51,6,47,51,0
73,73,3,70,73,0
100,100,0,100,100,0
101,101,7,94,101,1
97,97,29,68,97,0
85,85,36,49,85,0
80,80,40,40,80,0
79,79,79,0,79,0
80,80,80,0,80,0
70,70,70,0,70,0
87,87,87,0,87,0
102,102,57,45,102,1
126,126,30,96,126,1
115,115,27,88,115,1
92,92,0,92,92,0
56,56,5,51,56,0
83,83,52,31,83,0
102,102,50,52,102,1
86,86,38,48,86,0
127,127,36,91,127,1
133,133,0,133,133,1
137,137,0,137,137,1
140,140,0,140,140,1
105,105,0,105,105,1
100,100,0,100,100,0
78,78,0,78,78,0
87,87,0,87,87,0
42,42,1,41,42,0
60,60,3,57,60,0
55,55,5,55,55,0
41,41,0,41,41,0
44,44,0,44,44,0
7,7,0,7,7,0
65,65,0,65,65,0
62,62,0,62,62,0
71,71,0,71,71,0
99,99,0,99,99,0
73,73,0,73,73,0
106,106,40,66,106,1
61,61,29,32,61,0
72,72,28,44,72,0
70,70,64,6,70,0
133,133,54,79,133,1
85,85,37,48,85,0
112,112,4,108,112,1
99,99,9,90,99,0
144,144,27,117,144,1
124,124,24,100,124,1
95,95,8,87,95,0
126,126,0,126,126,1
120,120,36,84,120,1
86,86,0,86,86,0
90,90,29,61,90,0
81,81,12,69,81,0
94,94,47,47,94,0
84,84,8,76,84,0
94,94,1,93,94,0
118,118,45,73,118,1
116,116,64,52,116,1
68,68,29,39,68,0
116,116,43,73,116,1
131,131,31,100,131,1
107,107,15,92,107,1
116,116,13,103,116,1
97,97,40,57,97,0
129,129,14,115,129,1
111,111,1,110,111,1
132,132,35,97,132,1
109,109,0,109,109,1
70,70,0,70,70,0
115,115,0,115,115,1
93,93,5,88,93,0
84,84,24,60,84,0
61,61,8,53,61,0
99,99,35,64,99,0
59,59,1,58,59,0
88,88,43,46,88,0
74,74,28,46,74,0
82,82,5,77,82,0
84,84,36,48,84,0
107,107,0,107,107,1
117,117,0,117,117,1
115,115,0,115,115,1
119,119,0,119,119,1
111,111,0,111,111,1
78,78,0,78,78,0
70,70,0,70,70,0
78,78,0,78,78,0
110,110,0,110,110,1
125,125,0,125,125,1
88,88,2,86,88,0
63,63,2,61,63,0
97,97,32,65,97,0
120,120,36,84,120,1
108,108,1,107,108,1
89,89,35,54,89,0
97,97,38,59,97,0
131,131,19,112,131,1
141,141,15,126,141,1
118,118,0,118,118,1
155,155,0,155,155,1
155,155,0,155,155,1
160,160,0,160,160,1
120,120,0,120,120,1
106,106,0,106,106,1
105,105,0,105,105,1
152,152,0,152,152,1
129,129,36,93,129,1
164,164,39,125,164,1
98,98,13,85,98,0
165,165,26,139,165,1
124,124,33,91,124,1
87,87,33,54,87,0
155,155,0,155,155,1
126,126,0,126,126,1
118,118,0,118,118,1
120,120,5,116,120,1
111,111,0,111,111,1
104,104,0,104,104,1
79,79,0,79,79,0
102,102,0,102,102,1
117,117,0,117,117,1
127,127,0,127,127,1
118,118,0,118,118,1
110,110,0,110,110,1
121,121,0,121,121,1
138,138,0,138,138,1
118,118,0,118,118,1
121,121,0,121,121,1
114,114,0,114,114,1
110,110,0,110,110,1
123,123,0,123,123,1
107,107,0,107,107,1
88,88,0,88,88,0
140,140,0,140,140,1
104,104,2,102,104,1
129,129,2,127,129,1
80,80,5,76,80,0
118,118,22,96,118,1
103,103,11,92,103,1
137,137,36,101,137,1
96,96,4,92,96,0
118,118,17,101,118,1
124,124,15,109,124,1
140,140,36,104,140,1
107,107,6,101,107,1
139,139,3,136,139,1
110,110,33,77,110,1
128,128,0,128,128,1
110,110,0,110,110,1
90,90,0,90,90,0
94,94,0,94,94,0
95,95,0,95,95,0
110,110,4,106,110,1
89,89,5,84,89,0
