dst,cid,dci,next,pattern,Label
0,0,0,0,0,0
0,0,0,0,0,0
3,3,3,1,3,0
4,4,4,2,4,0
4,4,4,4,4,0
0,0,0,0,0,0
9,9,9,4,9,0
0,0,0,0,0,0
0,0,0,0,0,0
8,8,0,8,8,0
0,0,0,0,0,0
5,5,5,1,5,0
0,0,0,0,0,0
19,19,19,15,19,0
8,8,0,8,8,0
7,7,7,4,7,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
15,15,15,11,15,0
1,1,1,1,1,0
21,21,21,13,21,0
16,16,16,9,16,0
0,0,0,0,0,0
3,3,0,3,3,0
6,6,0,6,6,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
21,21,21,17,21,0
13,13,13,6,13,0
5,5,5,5,5,0
17,17,17,13,17,0
1,1,1,1,1,0
0,0,0,0,0,0
5,5,5,2,5,0
2,2,2,2,2,0
0,0,0,0,0,0
1,1,1,0,1,0
16,16,16,14,16,0
4,4,4,1,4,0
0,0,0,0,0,0
0,0,0,0,0,0
8,8,0,8,8,0
1,1,1,0,1,0
1,1,1,1,1,0
7,7,7,3,7,0
9,9,8,9,9,0
9,9,0,9,9,0
0,0,0,0,0,0
1,1,1,0,1,0
3,3,3,0,3,0
8,8,8,8,8,0
20,20,20,16,20,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
